pMonth,pWeek,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pMonthly_Network_Cost,pHP_Month,pAC_Month
1,2,125,0.01885,0,0.05,0,0,0.491704696,0.00000761,0,-1,20,0.09425,0.09425,0,0,0,0,,,
1,2,126,0.04006,0,0.05,0,0,0.545170476,0.027888613,0,-1,20,0.2003,0.2003,0,0,0,0,,,
1,2,127,0.04021,0,0.05,0,0,0.761138161,0.107280194,0,-1,20,0.20105,0.20105,0,0,0,0,,,
1,2,128,0.02125,0,0.05,0,0,1.05426809,0.232245258,0,-1,20,0.10625,0.10625,0,0,0,0,,,
1,2,129,0.02862,0,0.05,0,0,1.025724443,0.340959516,0,-1,17,0.1431,0.1431,0,0,0,0,,,
1,2,130,0.0575,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,0.2875,0.2875,0,0,0,0,,,
1,2,131,0.05247,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,0.26235,0.26235,0,0,0,0,,,
1,2,132,0.078,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,0.39,0.39,0,0,0,0,,,
1,2,133,0.24501,0,0.05,0,0,0.847889702,0.510755903,0,0,17,1.22505,1.22505,0,0,0,0,,,
1,2,134,0.22585,0,0.05,0,0,0.825919768,0.49442371,0,-0.4,17,1.12925,1.12925,0,0,0,0,,,
1,2,135,0.08647,0,0.05,0,0,0.828777896,0.385888935,0,-1,17,0.43235,0.43235,0,0,0,0,,,
1,2,136,0.10788,0,0.05,0,0,0.899129955,0.307433548,0,-1,17,0.5394,0.5394,0,0,0,0,,,
1,2,137,0.0887,0,0.05,0,0,1.155948151,0.194586258,0,-1,20,0.4435,0.4435,0,0,0,0,,,
1,2,138,0.04721,0,0.05,0,0,1.6300657,0.087847871,0,-2,20,0.23605,0.23605,0,0,0,0,,,
1,2,139,0.06267,0,0.05,0,0,1.929091883,0.01736629,0,-2,20,0.31335,0.31335,0,0,0,0,,,
1,2,140,0.2367,0,0.05,0,0,1.920909364,0,0,-2,20,1.1835,1.1835,0,0,0,0,,,
1,2,141,0.15487,0,0.05,0,0,1.771053202,0,0,-2,20,0.77435,0.77435,0,0,0,0,,,
1,2,142,0.4244,0,0.05,0,0,1.605316809,0,0,-2,18,2.122,2.122,0,0,0,0,,,
1,2,143,0.15022,0,0.05,0,0,1.293373742,0,0,-3,18,0.7511,0.7511,0,0,0,0,,,
1,2,144,0.16762,0,0.05,0,0,0.985602467,0,0,-3,18,0.8381,0.8381,0,0,0,0,,,
1,2,145,0.13666,0,0.05,0,0,0.686177221,0,0,-3,18,0.6833,0.6833,0,0,0,0,,,
1,2,146,0.15869,0,0.05,0,0,0.559236655,0,0,-3,18,0.79345,0.79345,0,0,0,0,,,
1,2,147,0.21075,0,0.05,0,0,0.509842948,0,0,-3,18,1.05375,1.05375,0,0,0,0,,,
1,2,148,0.19914,0,0.05,0,0,0.496291477,0,0,-4,18,0.9957,0.9957,0,0,0,0,,,
1,2,149,0.16888,0,0.05,0,0,0.494375852,0.00000761,0,-4,20,0.8444,0.8444,0,0,0,0,,,
1,2,150,0.17105,0,0.05,0,0,0.549267169,0.027888613,0,-4,20,0.85525,0.85525,0,0,0,0,,,
1,2,151,0.19031,0,0.05,0,0,0.771763673,0.107280194,0,-4,20,0.95155,0.95155,0,0,0,0,,,
1,2,152,0.25146,0,0.05,0,0,1.075429452,0.232245258,0,-4,20,1.2573,1.2573,0,0,0,0,,,
1,2,153,0.6136,0,0.05,0,0,1.058161744,0.340959516,0,-4,17,3.068,3.068,0,0,0,0,,,
1,2,154,0.76793,0,0.05,0,0,0.900032543,0.459732129,0,-4,17,3.83965,3.83965,0,0,0,0,,,
