Hour,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint
690,3.85,0.087847871,0,-2,20
691,4.35,0.01736629,0,-2,20
692,4.55,0,0,-3,20
693,4.35,0,0,-2,20
694,3.85,0,0,-4,20
695,3.35,0,0,-5.4,20
696,3,0,0,-7,20
697,3,0,0,-6,20
698,2.75,0,0,-6,20
699,2.5,0,0,-6,20
700,2.3,0,0,-7,20
701,2.4,0.00000761,0,-6,20
702,2.6,0.027888613,0,-7,20
703,2.85,0.107280194,0,-8,20
704,3.35,0.232245258,0,-6,20
705,4,0.340959516,0,-4,20
706,3.75,0.459732129,0,-3,20
707,3.25,0.513976226,0,-3,20
708,3,0.522277516,0,-2,20
709,3,0.510755903,0,-1.5,20
710,3,0.49442371,0,-1,20
711,3,0.385888935,0,0,20
712,3.175,0.307433548,0,-1,20
713,3.35,0.194586258,0,-1,20
714,3.85,0.087847871,0,-3,20
715,4.35,0.01736629,0,-3,20
716,4.55,0,0,-4,20
717,4.35,0,0,-5,20
718,3.85,0,0,-3,20
719,3.35,0,0,-2,20
720,3,0,0,-2,20
721,3,0,0,-1,20
722,2.75,0,0,-1,20
723,2.5,0,0,-1,20
724,2.3,0,0,-1,20
725,2.4,0.00000761,0,-1,20
726,2.6,0.027888613,0,-1,20
727,2.85,0.107280194,0,-1,20
728,3.35,0.232245258,0,-1,20
729,4,0.340959516,0,0,20
730,3.75,0.459732129,0,0.5,20
731,3.25,0.513976226,0,1,20
732,3,0.522277516,0,1,20
733,3,0.510755903,0,2,20
734,3,0.49442371,0,2,20
735,3,0.385888935,0,2,20
736,3.175,0.307433548,0,3,20
737,3.35,0.194586258,0,2,20
738,3.85,0.087847871,0,2,20
739,4.35,0.01736629,0,2,20
740,4.55,0,0,2,20
741,4.35,0,0,1,20
742,3.85,0,0,-0.5,20
743,3.35,0,0,-2,20
744,3,0,0,-3.6,20
745,3,0,0,-5.2,20
746,2.75,0,0,-6.8,20
747,2.5,0,0,-8.3,20
748,2.3,0,0,-10,20
749,2.4,0.00000761,0,-11.5,20
750,2.6,0.027888613,0,-13,20
751,2.85,0.107280194,0,-14,20
