pMonth,pWeek,pDay,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pWH_use,pMonthly_Network_Cost,pHP_Month,pAC_Month,,,true NYISO lmp
1,2,5,110,0.1523,0,0.05,0,0,0.825919768,0.49442371,0,-1,17,0.56155,0.56155,0,0,0,0,0,,,,,,0.11231
1,2,5,111,0.1315,0,0.05,0,0,0.828777896,0.385888935,0,0,17,0.45755,0.45755,0,0,0,0,0,,,,,,0.09151
1,2,5,112,0.1176,0,0.05,0,0,0.899129955,0.307433548,0,0,17,0.38815,0.38815,0,0,0,0,0,,,,,,0.07763
1,2,5,113,0.1225,0,0.05,0,0,1.155948151,0.194586258,0,0,20,0.41235,0.41235,0,0,0,0,0,,,,,,0.08247
1,2,5,114,0.1118,0,0.05,0,0,1.6300657,0.087847871,0,-1,20,0.3589,0.3589,0,0,0,0,-0.25,,,,,,0.07178
1,2,5,115,0.1319,0,0.05,0,0,1.929091883,0.01736629,0,-1,20,0.4596,0.4596,0,0,0,0,-0.75,,,,,,0.09192
1,2,5,116,0.1298,0,0.05,0,0,1.920909364,0,0,-2,20,0.44875,0.44875,0,0,0,0,-1.25,,,,,,0.08975
1,2,5,117,0.1156,0,0.05,0,0,1.771053202,0,0,-1,20,0.37815,0.37815,0,0,0,0,-0.5,,,,,,0.07563
1,2,5,118,0.0915,0,0.05,0,0,1.605316809,0,0,-1,18,0.25745,0.25745,0,0,0,0,0,,,,,,0.05149
1,2,5,119,0.1112,0,0.05,0,0,1.293373742,0,0,-1,18,0.356,0.356,0,0,0,0,0,,,,,,0.0712
1,2,5,120,0.0707,0,0.05,0,0,0.985602467,0,0,-1,18,0.1533,0.1533,0,0,0,0,0,,,,,,0.03066
1,2,6,121,0.0548,0,0.05,0,0,0.679603538,0,0,-1,18,0.0739,0.0739,0,0,0,0,0,,,,,,0.01478
1,2,6,122,0.0640,0,0.05,0,0,0.55528963,0,0,-1,18,0.1199,0.1199,0,0,0,0,0,,,,,,0.02398
1,2,6,123,0.1241,0,0.05,0,0,0.50723171,0,0,-1,18,0.42065,0.42065,0,0,0,0,0,,,,,,0.08413
1,2,6,124,0.0606,0,0.05,0,0,0.494926073,0,0,-1,18,0.10315,0.10315,0,0,0,0,0,,,,,,0.02063
1,2,6,125,0.0589,0,0.05,0,0,0.491704696,0.00000761,0,-1,20,0.09425,0.09425,0,0,0,0,0,,,,,,0.01885
1,2,6,126,0.0801,0,0.05,0,0,0.545170476,0.027888613,0,-1,20,0.2003,0.2003,0,0,0,0,0,,,,,,0.04006
1,2,6,127,0.0802,0,0.05,0,0,0.761138161,0.107280194,0,-1,20,0.20105,0.20105,0,0,0,0,-0.25,,,,,,0.04021
1,2,6,128,0.0613,0,0.05,0,0,1.05426809,0.232245258,0,-1,20,0.10625,0.10625,0,0,0,0,-0.5,,,,,,0.02125
1,2,6,129,0.0686,0,0.05,0,0,1.025724443,0.340959516,0,-1,17,0.1431,0.1431,0,0,0,0,-0.25,,,,,,0.02862
1,2,6,130,0.0975,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,0.2875,0.2875,0,0,0,0,0,,,,,,0.0575
1,2,6,131,0.0925,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,0.26235,0.26235,0,0,0,0,0,,,,,,0.05247
1,2,6,132,0.1180,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,0.39,0.39,0,0,0,0,0,,,,,,0.078
1,2,6,133,0.2850,0,0.05,0,0,0.847889702,0.510755903,0,0,17,1.22505,1.22505,0,0,0,0,0,,,,,,0.24501
1,2,6,134,0.2659,0,0.05,0,0,0.825919768,0.49442371,0,-0.4,17,1.12925,1.12925,0,0,0,0,0,,,,,,0.22585
1,2,6,135,0.1265,0,0.05,0,0,0.828777896,0.385888935,0,-1,17,0.43235,0.43235,0,0,0,0,0,,,,,,0.08647
1,2,6,136,0.1479,0,0.05,0,0,0.899129955,0.307433548,0,-1,17,0.5394,0.5394,0,0,0,0,0,,,,,,0.10788
1,2,6,137,0.1287,0,0.05,0,0,1.155948151,0.194586258,0,-1,20,0.4435,0.4435,0,0,0,0,0,,,,,,0.0887
1,2,6,138,0.0872,0,0.05,0,0,1.6300657,0.087847871,0,-2,20,0.23605,0.23605,0,0,0,0,-0.25,,,,,,0.04721
1,2,6,139,0.1027,0,0.05,0,0,1.929091883,0.01736629,0,-2,20,0.31335,0.31335,0,0,0,0,-0.75,,,,,,0.06267
1,2,6,140,0.2767,0,0.05,0,0,1.920909364,0,0,-2,20,1.1835,1.1835,0,0,0,0,-1.25,,,,,,0.2367
1,2,6,141,0.1949,0,0.05,0,0,1.771053202,0,0,-2,20,0.77435,0.77435,0,0,0,0,-0.5,,,,,,0.15487
1,2,6,142,0.4644,0,0.05,0,0,1.605316809,0,0,-2,18,2.122,2.122,0,0,0,0,0,,,,,,0.4244
1,2,6,143,0.1902,0,0.05,0,0,1.293373742,0,0,-3,18,0.7511,0.7511,0,0,0,0,0,,,,,,0.15022
1,2,6,144,0.2076,0,0.05,0,0,0.985602467,0,0,-3,18,0.8381,0.8381,0,0,0,0,0,,,,,,0.16762
1,2,7,145,0.1767,0,0.05,0,0,0.686177221,0,0,-3,18,0.6833,0.6833,0,0,0,0,0,,,,,,0.13666
1,2,7,146,0.1987,0,0.05,0,0,0.559236655,0,0,-3,18,0.79345,0.79345,0,0,0,0,0,,,,,,0.15869
1,2,7,147,0.2508,0,0.05,0,0,0.509842948,0,0,-3,18,1.05375,1.05375,0,0,0,0,0,,,,,,0.21075
1,2,7,148,0.2391,0,0.05,0,0,0.496291477,0,0,-4,18,0.9957,0.9957,0,0,0,0,0,,,,,,0.19914
1,2,7,149,0.2089,0,0.05,0,0,0.494375852,0.00000761,0,-4,20,0.8444,0.8444,0,0,0,0,0,,,,,,0.16888
1,2,7,150,0.2111,0,0.05,0,0,0.549267169,0.027888613,0,-4,20,0.85525,0.85525,0,0,0,0,0,,,,,,0.17105
1,2,7,151,0.2303,0,0.05,0,0,0.771763673,0.107280194,0,-4,20,0.95155,0.95155,0,0,0,0,-0.25,,,,,,0.19031
1,2,7,152,0.2915,0,0.05,0,0,1.075429452,0.232245258,0,-4,20,1.2573,1.2573,0,0,0,0,-0.5,,,,,,0.25146
1,2,7,153,0.6536,0,0.05,0,0,1.058161744,0.340959516,0,-4,17,3.068,3.068,0,0,0,0,-0.25,,,,,,0.6136
1,2,7,154,0.8079,0,0.05,0,0,0.900032543,0.459732129,0,-4,17,3.83965,3.83965,0,0,0,0,0,,,,,,0.76793
1,2,7,155,0.7200,0,0.05,0,0,0.897688162,0.513976226,0,-4,17,3.39975,3.39975,0,0,0,0,0,,,,,,0.67995
1,2,7,156,0.5298,0,0.05,0,0,0.915612161,0.522277516,0,-4,17,2.44905,2.44905,0,0,0,0,0,,,,,,0.48981
1,2,7,157,0.5132,0,0.05,0,0,0.895700208,0.510755903,0,-4,17,2.3662,2.3662,0,0,0,0,0,,,,,,0.47324
